id,commentCount,dislikeCount,hiddenSubscriberCount,likeCount,subscriberCount,videoCount,viewCount
UCARXOI1UlItgIevoI5jZViQ,21,,false,,94816,516,15664643
UC5c30b1wiKGaA3zHTyKhGKQ,97,,false,,12744,291,4929933
UCVGVbOl6F5rGF4wSYS6Y5yQ,237,,false,,159942,880,20951245
UCUBuQif8Zupe4T0_KbS_pZw,1103,,false,,635285,301,42179908
UC9pJdcUHnkqCAM_HypH3KOg,28,,false,,192204,51,17841930
UCvUB-bMljxXChk3DCvlxr9g,24,,false,,32159,559,5714246
UCE560wL2ftkMrQL40LYFUVg,262,,false,,1764603,380,1238979662
UCmuK_ntZEGCXOmnfZW_LWnw,777,,false,,905301,142,83905020
TQUaU1jibAE,1120,91,,15729,,,265069
dbiCfgfY9pI,201,16,,908,,,14800
UC5xAkS4828lDivq8cKFGSyw,1238,,false,,846032,600,111019204
UCKN-_lqeSb0kQfvyATnjY1Q,1068,,false,,12267,546,6342599
5uSZXDNck_E,6,2,,49,,,2147
,,,,,,,
wEb1eLp0WFw,61,3,,150,,,3360
,,,,,,,
,,,,,,,
kJTTE6Sh1rU,149,23,,605,,,13028
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
eviSI6c-GHw,29,6,,225,,,9034
8B5Af93h9PA,405,3678,,7202,,,2647477
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
YEDUSw523z0,230,50,,1391,,,204560
fDNFWmVIwM0,3,1,,3,,,166
XwervT7w76Y,34,9,,614,,,38052
ogIPe8TjLjc,97,2,,661,,,8728
77PbLK-_8rg,106,5,,457,,,5413
8GBMhzCTf7g,17,0,,23,,,578
5ruY7Y4N71o,28,0,,24,,,817
G09yXuEWMyI,94,27,,1116,,,38809
qXpIi0s6oCM,42,21,,726,,,16433
UC6ukEuRKvWBhfLGO6xHOxww,140,,false,,281248,644,31226920
UChl6Qp-aQDGZuHvjGRnc-JQ,205,,false,,46874,472,4161297
UC6wvIZdfxT3GGsjzWA_SfUg,0,,false,,5292,85,9030155
UCFrUPm0uNQgiPRos3TYOpEA,1,,false,,34855,101,4384062
UC-KV2g7wDXFPLqEFan4oeBQ,100,,false,,63933,236,3626787
,,,,,,,
UCjLg-lb4Q_Q2t7KBIpFY8SA,0,,false,,10651,170,2099782
dbfA0R_y8g4,,,,,,,196
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
0Sm0At8dpsM,14,21,,35,,,6253
Cr0BzHWkBRU,44,3,,69,,,1335
UCIqxFPHOuIyuLIgEWZTidCQ,72,,false,,44416,2607,17868538
UCEhGzFzSaf_js4wfGVcHKKA,36,,false,,29395,72,6424137
UCemXyN0MvApSEEtGvAsdo3g,0,,false,,809974,200,82713341
UCETnS-RiaL34LmC4ZJs9R4A,0,,false,,21866,132,1993288
UCKSnz4fu9j8YqVNRCA42Y-g,1330,,false,,1183314,1342,205847706
UCYbIk85RsNa1cON_uATSy2Q,583,,false,,736129,1690,183903899
UCwbM5TwhjBqmMdwMFLlPCmA,0,,false,,8171,115,500537
gVCGJvc-u3c,47,14,,144,,,82405
UCBJoIEkGz7QpiqV9neevgEQ,75,,false,,417,223,15246
UCcZ7tdIJMcYKH5ivaX__J3Q,38,,false,,1225,14,7011
UCRgoMczG76pccGDeEyuEPpw,0,,false,,128,18,39032
UCEmOh4hfotnU0IJBg1qKS5g,0,,false,,360,68,15676
,,,,,,,
,,,,,,,
9JjN90ns038,36,4,,212,,,3376
UCI02FMfqWEZ60i3SAEGPaFg,0,,false,,95100,9,28668689
UCAuUUnT6oDeKwE6v1NGQxug,4912,,false,,7368096,2413,822575257
UCDAdYdnCDt9zx3p3e_78lEQ,3,,false,,69020,93,779663
,,,,,,,
UCYG6DQUw79szmnuNux_S8pg,4,,false,,1363729,114,570664302
UCp6BQBSXnB1yXTnl0D0NAbg,0,,false,,28672,99,1241361
,,,,,,,
UCGL9nHMvNVRawDxwazMMPgA,27,,false,,94772,13,59081439
UCtWUBxSwmLbGYON-nMdqVyQ,9,,false,,361208,42,277268233
UCiGY1gH96utF2_xzgCgOSJw,16,,false,,641323,79,464059925
UCBjBZmguQzn6WCYR7DQykLw,26,,false,,110125,72,436817
,,,,,,,
,,,,,,,
,,,,,,,
UCkVDWvSeKf9IUwzIEMZVOIA,0,,false,,27115,22,278396
UC3RkEmZ3trviC_q7e9EwWjA,0,,false,,31084,153,9270484
UCLWKGOwdizcgCzNBps7RxWA,1,,false,,25253,37,18421587
,,,,,,,
,,,,,,,
1KYVIm6nXis,11,26,,938,,,10606
blsBaBzNk4s,31,7,,19,,,1106
iJ7G7s_TlI8,20,1,,40,,,858
,,,,,,,
r6I3so3oGZI,0,0,,5,,,168
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
8QTSxt0rU_8,42,1,,147,,,1378
,,,,,,,
a5s54A316r8,1541,776,,21120,,,276242
pVb34CdXhgQ,24,18,,50,,,24002
qj9mMD0WNB0,210,313,,1828,,,547068
L8hJmMNYNOU,4461,838,,74943,,,474918
UC4LwLyeZq4ChGXnKlpL9ayg,0,,false,,25261,16,409717
UCKOqsGhveGCkZOwpaxZ2-Kg,0,,false,,7594,234,948027
,,,,,,,
TArbgWezxAI,27,29,,422,,,30309
UCD3pE2yK4mrMt4NPlFoH3Sg,0,,false,,2776,63,101752
ua0YHrFWxmk,1,37,,54,,,32682
kabgHvYvcXI,,1,,23,,,3124
UCiZ2av6_rIZAE2n0wmQ-sKA,0,,false,,15819,172,3769698
UCIIe8pQHrmWSzs1i5o3r10w,84,,false,,369721,356,70229220
UCMGhhQYNnpKCr_KhV2dLlfw,0,,false,,1009,0,0
UCjtoaUzcsmGg4XKEfjlIlBQ,163,,false,,153841,57,17115157
UC_7q9IyL94lGG059OW-_jjA,0,,false,,4039,608,4093567
UC8FHc06x1T7v6TzoLxVG6bg,0,,false,,5174,978,2337058
UCt_HcvvcO0-uGlCORKSaCeg,6,,false,,79226,531,182360853
UCbxY1I9AXlnoDB_pF7GMqRw,199,,false,,700,164,2243904
Ljz45KJGXZM,204,106,,2611,,,69225
UCrziFXc-R_fwvVVdfsedW7g,8,,false,,104563,283,8438699
UC9Dhhc9Iij240n6o7vF68AA,18,,true,,0,223,5190848
,,,,,,,
9SSim8vvL4Y,90,26,,712,,,25342
,,,,,,,
,,,,,,,
,,,,,,,
FEeh1oA-pF8,20233,1342,,78361,,,1155596
,,,,,,,
,,,,,,,
,,,,,,,
AlxIvqmiyNQ,154,15,,726,,,38960
zppNOhAclVM,32,1,,97,,,1039
,,,,,,,
,,,,,,,
3F_V919bVCc,457,2129,,6404,,,410505
k4wtNFknCFs,34,80,,765,,,153852
TB__IJbUJxg,247,19,,1706,,,27551
UCyWkpcB25Hr2oN7uRlsNg5g,1,,false,,1725490,203,1227202159
UCrSJ5UhuScilWzPaRqOZJ0Q,17,,false,,40538,69,5026294
UC6qABjcDkIUgYFkTKrCEXyg,25,,false,,46682,671,5418437
UCnSxj3GSmgULRWR2WuvzTGw,6,,false,,3347,17,96226
UC1pzRcd3djNlMWHWz7KGkmA,2,,false,,28341,0,0
UCm3Y5mfuO7pf3SXQILf3Obg,840,,false,,3387559,5040,1209497819
UC6O19HhN_pAxzLTGWCZtisg,199,,false,,314699,81,18770497
UCkufmNW-80FuX4KKvfrUJxA,340,,true,,0,37,401978
UCi0M4xJ2kA6qPulhusG3n1w,0,,false,,32456,168,1107508
UCfGd5KHaboL60O20jzFbv2g,37,,false,,4052,658,1019345
